frame,tracker,timestamp,predict_us,associate_us,update_us,create_delete_us,total_us,num_tracks,num_detections
1,object,4123.393596323,2.814000254147686,7.7920003604958765,3.6789997466257773,179.21000016940525,193.4950005306746,1,1
2,object,4123.422753304,151.49599948927062,483.01200058631366,113.92599935788894,13.533000128518324,761.9669995619915,1,1
3,object,4123.445706554,50.06799983675592,133.80500058701728,32.67499960202258,3.2210000426857732,219.76900006848155,1,1
4,object,4123.469978568,68.01799918321194,158.5100008014706,46.75599939218955,4.407999767863657,277.69199914473575,1,1
5,object,4123.497524303,73.08699969144072,247.66899969108636,84.01400009461213,7.087000085448381,411.8569995625876,1,1
6,object,4123.524896354,72.50799990288215,272.9460002228734,85.0590004120022,7.394999556709081,437.90800009446684,1,1
7,object,4123.552221737,91.99600026477128,285.61799990711734,97.18399996927474,7.9100000220933,482.70800016325666,1,1
8,object,4123.578204748,49.342000238539185,125.3139998880215,29.51199985545827,3.4450004022801295,207.61300038429908,1,1
9,object,4123.60259316,39.67200063925702,109.09799948422005,26.599999728205148,2.630000381032005,178.00000023271423,1,1
10,object,4123.628250638,87.90199990471592,267.54899954539724,84.68299984087935,7.077000191202387,447.2109994821949,1,1
11,object,4123.652708193,74.28499975503655,294.9429999716813,91.37800043390598,7.730000106676016,468.3360002672998,1,1
12,object,4123.679251929,98.51499999058433,281.1409995047143,87.02600007381989,8.065000656642951,474.74700022576144,1,1
13,object,4123.704072814,29.957000151625834,117.5540000986075,30.65900000365218,2.849999873433262,181.02000012731878,1,1
14,object,4123.729357678,62.119999711285345,157.54600008222042,43.31699983595172,4.2370002120151184,267.2199998414726,1,1
15,object,4123.75439641,78.79900022089714,263.97700003144564,85.22400003130315,6.860999747004826,434.86100003065076,1,1
16,object,4123.779766207,97.24099982122425,374.29200074257096,137.34799995290814,9.482999303145334,618.3639998198487,1,1
17,object,4123.804472672,43.63999960332876,118.73800031025894,29.04800021497067,3.7620002331095748,195.18800036166795,1,1
18,object,4123.830593576,106.14399980113376,170.08900067594368,33.62499955983367,3.6800001907977276,313.53800022770884,1,1
19,object,4123.854629015,86.4690000526025,267.7390002645552,109.30999997071922,13.242000022728462,476.7600003106054,1,1
20,object,4123.878684255,42.09400049148826,122.1249995069229,28.561999897647183,2.9829998311470263,195.76399972720537,1,1
21,object,4123.90391395,124.50699978217017,362.81800021242816,138.69699978386052,10.120000297320075,636.1420000757789,1,1
22,object,4123.928502027,87.18000026419759,465.49199942091946,92.87000011681812,7.640000148967374,653.1819999509025,1,1
23,object,4123.953920789,68.66500007163268,232.51299990079133,68.95299975440139,6.545000360347331,376.6760000871727,1,1
24,object,4123.977475459,32.52199985581683,106.95200035115704,26.749999960884452,2.5259996618842706,168.7499998297426,1,1
25,object,4124.002997663,101.78799948334927,249.82400009321282,79.6370004536584,6.947999281692319,438.1969993119128,1,1
26,object,4124.029627134,88.35500011628028,320.2619991498068,93.0640007936745,7.640999683644623,509.3219997434062,1,1
27,object,4124.0537539,98.21200001169927,268.9060002012411,81.02300034806831,7.113999345165212,455.2549999061739,1,1
28,object,4124.080130937,87.96099973551463,315.5740005240659,97.65100003278349,8.305999472213443,509.4919997645775,1,1
29,object,4124.108663078,122.15399965498364,282.52799984329613,35.448000744509045,3.7029994928161614,443.832999735605,1,1
30,object,4124.132222173,39.67200063925702,211.25300008861814,34.9709998772596,4.412999260239303,290.30899986537406,1,1
31,object,4124.158489634,90.78600032808026,266.8669994818629,84.37100041192025,6.821000170020852,448.84500039188424,1,1
32,object,4124.18342708,93.65499954583356,263.6640001583146,87.47900028538425,7.284999810508452,452.08299980004085,1,1
33,object,4124.208806651,160.5950001248857,343.83700040052645,91.24999996856786,8.830999831843656,604.5130003258237,1,1
34,object,4124.235689522,93.77599963045213,186.69900055101607,52.89499949867604,5.548999979509972,338.9189996596542,1,1
35,object,4124.259752034,30.688000151712913,155.45099995506462,31.294000109483022,2.832000063790474,220.26500028005103,1,1
36,object,4124.285696284,60.52100070519373,218.93499979341868,53.84699943533633,5.311000677465927,338.61400061141467,1,1
37,object,4124.310813919,175.43500052852323,433.7189993748325,46.60400009015575,7.964999895193614,663.7229998887051,1,1
38,object,4124.334750758,56.09700019704178,242.30199960584287,55.42899998545181,7.788000402797479,361.61600019113394,1,1
39,object,4124.362735467,72.85199990292313,277.9830001600203,72.94399983948097,6.367999958456494,430.1469998608809,1,1
40,object,4124.388635092,303.3859993593069,593.0560000706464,75.18900019931607,10.95100014936179,982.5819997786311,1,1
41,object,4124.412042945,48.207999498117715,133.50700010050787,36.45699962362414,3.35000004270114,221.52199926495086,1,1
42,object,4124.440547445,68.14999960624846,203.5549996435293,83.27400064445101,5.185999725654256,360.164999619883,1,1
43,object,4124.463371086,61.58999985927949,437.4690006443416,57.063999520323705,4.860999979428016,560.9840000033728,1,1
44,object,4124.491981939,57.19799992220942,200.87300072191283,39.104999814298935,5.265999789116904,302.4420002475381,1,1
45,object,4124.517379689,257.91299958655145,581.5380000058212,79.09499981906265,15.083000107551925,933.6289995189873,1,1
