frame,tracker,timestamp,predict_us,associate_us,update_us,create_delete_us,deduplicate_us,total_us,num_tracks,num_detections
1,object,22656.905054404,1.252999936696142,7.179998647188768,2.5670015020295978,97.04599870019592,0.9510004019830376,108.99699918809347,1,1
2,object,22656.928088816,54.180000006454065,103.74900011811405,36.141998862149194,2.9950024327263236,0.37000063457526267,197.4360020540189,1,1
3,object,22656.954423319,119.56299931625836,152.7840031485539,44.996999349677935,3.1989984563551843,0.6990012479946017,321.24200151883997,1,1
4,object,22656.981606492,48.3069998153951,131.77199798519723,47.549001465085894,3.754998033400625,0.48299989430233836,231.8659971933812,1,1
5,object,22657.007402491,63.80400009220466,153.08900037780404,50.68600148661062,3.649998689070344,0.41100065573118627,271.64000130142085,1,1
6,object,22657.032566977,125.34400229924358,385.8460004266817,122.94199768803082,10.175001079915091,1.1349984561093152,645.4419999499805,1,1
7,object,22657.057274882,41.919996874639764,109.1150006686803,31.553001463180408,2.225999196525663,0.35600169212557375,185.1699998951517,1,1
8,object,22657.08234065,46.664001274621114,115.79499914660119,32.329000532627106,2.2999993234407157,0.3260029188822955,197.41400319617242,1,1
9,object,22657.109496698,91.73999933409505,280.93999935663305,104.78399781277403,6.666003173450008,0.9019968274515122,485.03199650440365,1,1
10,object,22657.133896066,87.0869989739731,241.76100123440847,88.47999924910255,6.403002771548927,0.7019989425316453,424.4330011715647,1,1
11,object,22657.161131847,82.63900235760957,237.30699831503443,101.72499969485216,6.432001100620255,0.7589987944811583,428.8620002625976,1,1
12,object,22657.187403418,90.63999823410995,127.44600098812953,32.799001928651705,2.500997652532533,0.29600050766021013,253.68199931108393,1,1
13,object,22657.211333952,43.17999992053956,120.18699999316595,39.17900176020339,3.3369979064445943,0.39099904824979603,206.2739986286033,1,1
14,object,22657.237569843,88.92199912224896,256.91400151117705,127.76899893651716,7.374001143034548,0.8399983926210552,481.8189991055988,1,1
15,object,22657.264118936,87.38999895285815,242.07500246120617,100.4189980449155,7.046000973787159,0.8179995347745717,437.74799996754155,1,1
16,object,22657.289697675,120.25399701087736,367.18800038215704,172.02800154336728,9.545998182147741,1.1789998097810894,670.1949969283305,1,1
17,object,22657.313899746,90.12000009533949,283.6069979821332,119.68400212936103,6.4639971242286265,0.8370006980840117,500.71199802914634,1,1
18,object,22657.338414306,59.923000662820414,151.3030001660809,59.635000070557,3.683999239001423,0.4710018401965499,275.0160019786563,1,1
19,object,22657.363348012,66.995999077335,176.09800124773756,73.40400043176487,5.032998160459101,0.562002242077142,322.09300115937367,1,1
20,object,22657.389675814,120.8139983646106,361.13800160819665,175.5720004439354,9.74999784375541,1.4220022421795875,668.6960005026776,1,1
21,object,22657.415536113,117.89400014095008,330.24400181602687,198.2099965971429,9.438001143280417,1.3159988156985492,657.1019985130988,1,1
22,object,22657.4430886,117.54699880839325,329.46799910860136,155.7120012876112,9.45699866861105,1.4700017345603555,613.6539996077772,1,1
23,object,22657.467225667,38.616002711933106,123.74099969747476,47.6889981655404,2.7520000003278255,0.2900014806073159,213.0880020558834,1,1
24,object,22657.494747004,49.67900167685002,181.83999782195315,69.1760033078026,3.7809986679349095,0.443000317318365,304.91900179185905,1,1
25,object,22657.521264534,106.54300058376975,336.52699858066626,178.62200184026733,10.108000424224883,1.224998413817957,633.0249998427462,1,1
26,object,22657.544731563,115.92599912546575,292.9639995272737,106.53199933585711,7.954000466270372,0.9370014595333487,524.3129999144003,1,1
27,object,22657.56990892,90.3530017239973,348.42400054913014,136.78499817615375,8.638002327643335,0.8600000001024455,585.060002777027,1,1
28,object,22657.601172371,60.582999140024185,124.20900020515546,38.33899972960353,2.769000275293365,0.24100154405459762,226.14100089413114,1,1
29,object,22657.63086204,58.08799687656574,168.4180024312809,59.04099816689268,3.9190017560031265,0.471998646389693,289.93799787713215,1,1
30,object,22657.659340842,82.39499948103912,221.73599791130982,92.89200170314871,6.56300107948482,0.7799972081556916,404.36599738313816,1,1
31,object,22657.689321329,71.3299996277783,234.23200036631897,99.1119995887857,6.608002877328545,0.8459974196739495,412.12799987988546,1,1
32,object,22657.715772249,90.89800005313009,275.96399741014466,75.17999983974732,5.414000042947009,0.5030015017837286,447.9589988477528,1,1
33,object,22657.738273675,65.01299867522903,228.6039998580236,39.476999518228695,3.0240007617976516,0.567000824958086,336.68499963823706,1,1
34,object,22657.762439234,47.78600123245269,150.9549983893521,57.01700138160959,3.655997716123238,0.538002495886758,259.9520012154244,1,1
35,object,22657.789035429,107.20600039348938,292.2060011769645,107.04399755923077,6.632002623518929,0.890999217517674,513.9790009707212,1,1
36,object,22657.816879463,82.44299897341989,256.3900015957188,100.99599967361428,6.54099858365953,0.8150018402375281,447.18500066665,1,1
37,object,22657.84768418,84.94099893141538,264.8310000950005,107.58099961094558,6.919002771610394,0.8449969755019993,465.11699838447385,1,1
38,object,22657.871715078,45.204000343801454,112.85399887128733,36.81500311358832,2.710999979171902,0.2529995981603861,197.8370019060094,1,1
39,object,22657.895657041,46.39799954020418,126.84199828072451,44.88900231081061,2.9900002118665725,0.4260000423528254,221.5450003859587,1,1
40,object,22657.921647973,81.85400292859413,229.15799854672514,109.47600094368681,6.637998012593016,0.8210008672904223,427.9470012988895,1,1
