frame,tracker,timestamp,predict_us,associate_us,update_us,create_delete_us,total_us,num_tracks,num_detections
1,object,25457.988356385,1.8189966795034707,3.670000296551734,1.4159995771478862,71.54000195441768,78.44499850762077,1,1
2,object,25458.017598056,74.86299728043377,162.12199989240617,33.0360016960185,5.194000550545752,275.2149994194042,1,1
3,object,25458.041732404,57.41900167777203,104.4589989760425,44.49900006875396,3.634999302448705,210.0120000250172,1,1
4,object,25458.065721059,81.12900104606524,148.81199967931025,29.75000097649172,4.137997166253626,263.82899886812083,1,1
5,object,25458.092697264,59.20499825151637,302.6650010724552,77.09399869781919,15.953999536577612,454.91799755836837,1,1
6,object,25458.120113915,320.9079986845609,398.8520002167206,64.24700040952303,6.5490021370351315,790.5560014478397,1,1
7,object,25458.148193195,234.6639994357247,402.38400106318295,106.37399827828631,13.225002476247028,756.647001253441,1,1
8,object,25458.174183939,96.08799882698804,251.58499920507893,44.00200123200193,4.522000381257385,396.1969996453263,1,1
9,object,25458.198512565,199.78899945272133,263.58200193499215,61.29900066298433,9.523999324301258,534.1940013749991,1,1
10,object,25458.223846415,77.49799988232553,142.5139998900704,42.409999878145754,6.512000254588202,268.9339999051299,1,1
11,object,25458.247916273,47.3809996037744,98.80099969450384,27.481997676659375,2.79700179817155,176.46099877310917,1,1
12,object,25458.274502831,105.00900316401385,222.42499835556373,33.54799991939217,7.351998647209257,368.334000086179,1,1
13,object,25458.299579625,87.57099931244738,219.49000074528158,37.46999936993234,4.41200245404616,348.94300188170746,1,1
14,object,25458.32472858,77.19800123595633,114.00500079616904,28.433998522814363,3.1950003176461905,222.83200087258592,1,1
15,object,25458.349878996,50.78100002720021,144.21699961530976,37.968999095028266,3.903001925209537,236.87000066274777,1,1
16,object,25458.373957681,54.96599987964146,100.36199819296598,25.209999876096845,3.2290008675772697,183.76699881628156,1,1
17,object,25458.399512734,36.49000063887797,79.74700201884843,23.59999780310318,2.297001628903672,142.13400208973326,1,1
18,object,25458.425577023,105.23499804548919,172.53600162803195,29.353999707382172,3.7610006984323263,310.88600007933564,1,1
19,object,25458.449690111,55.602999054826796,134.00100215221755,30.279999919002876,3.850000211969018,223.73400133801624,1,1
20,object,25458.474191371,94.62600064580329,163.80200031562708,47.618999815313146,5.165002221474424,311.21200299821794,1,1
21,object,25458.49891647,68.92400051583536,104.70400229678489,28.51699900929816,4.404999344842508,206.55000116676092,1,1
22,object,25458.523481737,110.62900011893362,221.38200074550696,53.444997320184484,6.181002390803769,391.63700057542883,1,1
23,object,25458.549015188,63.12999903457239,129.63900007889606,39.98800093540922,3.8469988794531673,236.60399892833084,1,1
24,object,25458.572864927,58.71699977433309,127.3220004804898,39.26800127374008,4.049001290695742,229.35600281925872,1,1
25,object,25458.59795321,69.53500269446522,127.20999802695587,42.55599924363196,4.049001290695742,243.3500012557488,1,1
26,object,25458.624494091,68.74300015624613,121.72299830126576,24.991000827867538,2.8569993446581066,218.31399863003753,1,1
27,object,25458.6487937,80.78800237854011,145.26899758493528,28.584003302967176,3.411998477531597,258.05300174397416,1,1
28,object,25458.673919174,54.01399903348647,106.22899935697205,28.572998417075723,2.9560032999143004,191.77200010744855,1,1
29,object,25458.703729339,122.69100261619315,234.84399935114197,39.54899875679985,5.386002158047631,402.4700028821826,1,1
